node_id,type,distance_to_root
1,root,0.0
2,slab,80.0
3,branch,163.1865373723417
4,slab,271.44548619413655
5,branch,695.1575941990538
6,branch,852.1582871239194
7,branch,873.1263656354876
8,branch,987.1140184816327
9,branch,1021.6840340529432
10,branch,1030.0655613600632
11,branch,1231.1751580634716
12,branch,1391.3854910145699
13,branch,1580.7281695695406
14,slab,1646.176742236182
15,branch,1718.2877677454617
16,slab,1843.2545731867322
17,slab,1898.2877957636115
18,branch,2018.2446718149956
19,slab,2128.1782622207816
20,slab,2188.1782622207816
21,slab,2257.4602945235365
22,slab,2292.101310674914
23,branch,2348.669853169838
24,branch,2393.3912127198337
25,slab,2428.0322288712114
26,slab,2462.673245022589
27,slab,2507.3946045725847
28,slab,2589.856717084938
29,branch,2685.301547777184
30,slab,2865.9173263123707
31,slab,2959.7256415088395
32,slab,3076.3446794057454
33,slab,3170.152994602214
34,slab,3204.794010753592
35,slab,3264.794010753592
36,slab,3377.9310957434395
37,slab,3417.9310957434395
38,slab,3452.572111894817
39,slab,3492.572111894817
40,slab,3537.293471444813
41,slab,3582.0148309948086
42,slab,3622.0148309948086
43,slab,3656.6558471461863
44,slab,3696.6558471461863
45,slab,3811.5471000769467
46,slab,3874.7926532803144
47,slab,3909.433669431692
48,slab,3991.895781944045
49,slab,4031.895781944045
50,slab,4106.728929679524
51,slab,4186.728929679524
52,slab,4221.369945830902
53,slab,4301.369945830902
54,slab,4336.01096198228
55,slab,4376.01096198228
56,slab,4416.01096198228
57,slab,4490.844109717758
58,slab,4573.306222230111
59,slab,4655.7683347424645
60,slab,4738.230447254818
61,slab,4818.230447254818
62,slab,4900.692559767171
63,slab,4980.692559767171
64,slab,5060.692559767171
65,slab,5143.154672279524
66,slab,5225.616784791877
67,slab,5317.268298690994
68,slab,5392.101446426473
69,slab,5452.101446426473
70,slab,5541.544165526464
71,slab,5654.681250516312
72,slab,5737.143363028665
73,slab,5846.687874529698
74,slab,5946.687874529698
75,slab,6036.130593629689
76,slab,6154.452189291682
77,slab,6262.155485434372
78,slab,6377.046738365133
79,slab,6461.8995521075185
80,slab,6541.8995521075185
81,slab,6631.34227120751
82,slab,6739.0455673502
83,slab,6841.025957622056
84,slab,6954.163042611904
85,slab,7010.731585106827
86,slab,7090.731585106827
87,slab,7125.372601258205
88,slab,7165.372601258205
89,slab,7247.834713770558
90,slab,7360.971798760405
91,slab,7475.863051691166
92,slab,7633.343209171402
93,slab,7693.343209171402
94,slab,7753.343209171402
95,slab,7798.064568721398
96,slab,7880.526681233751
97,slab,7960.526681233751
98,slab,8110.192976704709
99,slab,8182.3040022139885
100,slab,8323.725358451298
101,slab,8380.293900946222
102,slab,8474.102216142692
103,slab,8612.666280748203
104,slab,8672.666280748203
105,slab,8721.656075603865
106,slab,8841.656075603865
107,slab,8898.22461809879
108,slab,8967.506650401545
109,slab,9036.7886827043
110,slab,9065.072953951762
111,slab,9134.354986254517
112,slab,9179.076345804513
113,slab,9213.71736195589
114,slab,9258.438721505887
115,slab,9303.160081055883
116,slab,9323.160081055883
117,slab,9351.444352303344
118,slab,9371.444352303344
119,slab,9391.444352303344
120,slab,9460.7263846061
121,slab,9520.7263846061
122,slab,9587.058880413208
123,slab,9759.105385754061
124,slab,9841.567498266415
125,slab,9949.270794409105
126,slab,10040.922308308222
127,slab,10100.922308308222
128,slab,10135.5633244596
129,slab,10175.5633244596
130,slab,10250.396472195078
131,slab,10330.396472195078
132,slab,10412.858584707432
133,slab,10476.1041379108
134,slab,10516.1041379108
135,slab,10572.672680405723
136,slab,10695.960960465103
137,branch,10799.884008919236
138,branch,11003.844789462948
139,slab,11189.317159372862
140,slab,11317.37964412152
141,slab,11544.53597795353
142,slab,11711.867983260345
143,slab,11805.676298456814
144,slab,12020.152404352086
145,slab,12181.397559318057
146,slab,12412.048811211473
147,slab,12601.785470821575
148,slab,12764.266238914293
149,slab,12947.569266712528
150,slab,13168.476487056272
151,slab,13309.897843293582
152,slab,13456.867227860572
153,slab,13589.532219474788
154,slab,13772.835247273022
155,slab,13855.297359785376
156,slab,14046.085200068765
157,slab,14234.764822709896
158,slab,14387.080284827174
159,slab,14565.965723027157
160,slab,14712.935107594147
161,slab,14929.268184121986
