radius,intersections,cable_length,branch_points
769.3673273829897,0,1188.3403,1
1538.7346547659795,4,3526.1233,3
2308.101982148969,0,14750.951,31
3077.469309531959,2,4175.8486,1
3846.836636914949,0,1238.4758,2
4616.203964297938,0,836.5266,0
5385.571291680928,0,694.76,0
6154.938619063918,0,822.73145,0
6924.305946446908,0,846.22015,0
7693.673273829898,0,725.99615,0
8463.040601212888,0,873.54517,0
9232.407928595876,0,774.59576,0
10001.775255978866,0,919.56195,0
10771.142583361856,0,645.7389,0
11540.509910744846,0,951.48926,0
12309.877238127836,0,893.1222,0
13079.244565510826,0,817.5807,0
13848.611892893816,0,3318.5112,6
14617.979220276806,0,2769.6274,1
15387.346547659796,0,6716.317,9
16156.713875042784,0,4524.5483,8
16926.081202425776,0,1594.6862,0
17695.448529808764,0,3094.2224,0
18464.815857191752,0,2922.9097,1
19234.183184574744,0,2048.8398,0
20003.550511957732,12,17303.793,54
20772.917839340724,17,60353.277,176
21542.285166723712,18,56486.79,138
22311.652494106704,12,45491.29,117
23081.019821489692,0,33330.953,85
