node_id,label,x,y,z,radius,parent_id,type
1,1,0.0,0.0,0.0,4.387,-1,root
2,1,-0.39,0.12,1.02,3.618,1,slab
3,1,-0.45,1.2,2.0,4.069,2,slab
4,7,-0.77,4.51,0.55,0.185,3,slab
5,7,-1.28,5.02,0.55,0.185,4,slab
6,7,-2.28,6.56,0.55,0.185,5,slab
7,7,-3.94,7.92,0.55,0.185,6,slab
8,7,-6.6,8.89,0.4,0.185,7,slab
9,7,-7.4,8.96,0.4,0.185,8,slab
10,7,-7.86,9.15,-0.34,0.185,9,slab
11,7,-6.84,9.65,-0.74,0.185,10,slab
12,7,-6.74,10.14,-0.74,0.185,11,slab
13,7,-7.89,11.51,-0.85,0.185,12,slab
14,7,-8.06,11.65,-0.85,0.185,13,slab
15,7,-12.72,12.82,-1.29,0.185,14,slab
16,7,-12.77,13.55,-0.6,0.15,15,slab
17,7,-13.37,14.59,-0.6,0.15,16,slab
18,7,-13.89,15.01,-1.1,0.15,17,slab
19,7,-14.28,15.09,-1.1,0.15,18,slab
20,7,-14.77,15.19,-1.42,0.15,19,slab
21,7,-14.98,15.23,-1.42,0.15,20,slab
22,7,-14.95,15.33,-1.6,0.075,21,slab
23,7,-14.92,16.96,-1.04,0.075,22,slab
24,7,-15.21,17.53,-1.04,0.075,23,slab
25,7,-15.39,19.11,-1.04,0.075,24,slab
26,7,-15.42,19.93,-1.04,0.075,25,slab
27,7,-15.47,20.65,-1.04,0.075,26,end
28,7,1.08,4.24,1.07,0.26,1,slab
29,7,1.21,5.84,1.07,0.26,28,slab
30,7,1.06,8.53,1.2,0.26,29,slab
31,7,1.91,9.17,1.2,0.26,30,slab
32,7,3.45,10.18,1.89,0.26,31,slab
33,7,4.33,11.02,1.17,0.26,32,slab
34,7,3.53,11.08,0.46,0.15,33,slab
35,7,1.29,10.12,0.46,0.15,34,slab
36,7,0.5,10.28,1.12,0.035,35,slab
37,7,-0.05,11.02,1.12,0.035,36,end
38,7,1.14,4.02,0.31,0.185,1,slab
39,7,4.76,6.23,0.31,0.185,38,slab
40,7,5.51,6.89,0.4,0.185,39,slab
41,7,5.81,7.34,0.4,0.185,40,slab
42,7,7.65,8.79,0.97,0.185,41,slab
43,7,8.1,9.01,0.89,0.185,42,slab
44,7,9.07,9.21,0.89,0.185,43,slab
45,7,9.5,9.33,-0.5,0.185,44,slab
46,7,9.9,10.26,-1.25,0.185,45,slab
47,7,10.78,12.53,-1.25,0.185,46,slab
48,7,11.03,14.22,-1.2,0.185,47,slab
49,7,11.29,15.49,-1.2,0.185,48,slab
50,7,11.23,16.63,-1.58,0.185,49,slab
51,7,11.35,17.21,-1.58,0.185,50,slab
52,7,12.19,18.26,-1.7,0.185,51,slab
53,7,12.58,18.69,-1.7,0.185,52,slab
54,7,13.28,20.08,-2.33,0.185,53,slab
55,7,13.6,21.13,-2.33,0.185,54,slab
56,7,13.39,22.1,-2.52,0.185,55,slab
57,7,13.16,22.46,-2.52,0.185,56,branch
58,7,14.29,24.46,-4.9,0.075,57,slab
59,7,14.41,25.05,-4.9,0.075,58,slab
60,7,14.67,26.23,-4.94,0.075,59,slab
61,7,14.96,27.18,-5.0,0.075,60,branch
62,7,16.95,27.89,-5.78,0.075,61,slab
63,7,17.76,28.34,-5.19,0.075,62,slab
64,7,18.46,29.21,-5.19,0.075,63,slab
65,7,18.42,29.53,-4.84,0.075,64,slab
66,7,18.52,30.02,-4.84,0.075,65,slab
67,7,18.87,30.25,-4.69,0.075,66,slab
68,7,19.23,30.48,-4.69,0.075,67,slab
69,7,19.53,30.94,-4.69,0.075,68,slab
70,7,19.79,31.18,-4.69,0.075,69,slab
71,7,19.77,31.6,-4.65,0.075,70,slab
72,7,19.56,32.56,-4.65,0.075,71,slab
73,7,19.63,33.36,-4.65,0.075,72,slab
74,7,19.79,33.64,-4.65,0.075,73,slab
75,7,20.67,33.96,-4.65,0.075,74,slab
76,7,20.71,34.15,-4.65,0.075,75,slab
77,7,20.62,34.69,-4.69,0.075,76,slab
78,7,20.51,35.12,-4.69,0.075,77,end
79,7,13.47,28.31,-5.28,0.075,61,slab
